,gvkey_focal,year,gvkey1,gvkey2,score,gvkey_peer,focal_ticker,focal_company_name,focal_cik,focal_primary_sic,peer_ticker,peer_company_name
19970,012141,2011,12141,160329,0.0449,160329,MSFT,Microsoft Corp.,0000789019,7372,GOOGL,Alphabet Inc.
19998,031587,2011,31587,2184,0.0283,002184,DLTR,Dollar Tree Inc.,0000935703,5331,BBY,Best Buy Co. Inc.
20000,031587,2011,31587,4016,0.0571,004016,DLTR,Dollar Tree Inc.,0000935703,5331,DG,Dollar General Corp.
20031,160329,2011,160329,1690,0.0064,001690,GOOGL,Alphabet Inc.,0001652044,7389,AAPL,Apple Inc.
20033,160329,2011,160329,12141,0.0449,012141,GOOGL,Alphabet Inc.,0001652044,7389,MSFT,Microsoft Corp.
20103,002184,2012,2184,6829,0.0142,006829,BBY,Best Buy Co. Inc.,0000764478,5731,LOW,Lowes Companies Inc.
20105,002184,2012,2184,31587,0.011,031587,BBY,Best Buy Co. Inc.,0000764478,5731,DLTR,Dollar Tree Inc.
20109,003813,2012,3813,6502,0.0374,006502,TGT,Target Corp.,0000027419,5331,KR,Kroger Co.
20110,003813,2012,3813,11259,0.0196,011259,TGT,Target Corp.,0000027419,5331,WMT,Walmart Inc.
20121,004016,2012,4016,11259,0.012,011259,DG,Dollar General Corp.,0000029534,5331,WMT,Walmart Inc.
20134,004016,2012,4016,31587,0.0594,031587,DG,Dollar General Corp.,0000029534,5331,DLTR,Dollar Tree Inc.
20173,005680,2012,5680,6829,0.041,006829,HD,Home Depot Inc.,0000354950,5251,LOW,Lowes Companies Inc.
20176,006502,2012,6502,3813,0.0374,003813,KR,Kroger Co.,0000056873,5411,TGT,Target Corp.
20182,006502,2012,6502,11259,0.032,011259,KR,Kroger Co.,0000056873,5411,WMT,Walmart Inc.
20187,006829,2012,6829,2184,0.0142,002184,LOW,Lowes Companies Inc.,0000060667,5251,BBY,Best Buy Co. Inc.
20188,006829,2012,6829,5680,0.041,005680,LOW,Lowes Companies Inc.,0000060667,5251,HD,Home Depot Inc.
20206,007241,2012,7241,11264,0.0481,011264,CVS,CVS Health Corp.,0000064803,5912,WBA,Walgreens Boots Alliance Inc.
20307,011259,2012,11259,3813,0.0196,003813,WMT,Walmart Inc.,0000104169,5331,TGT,Target Corp.
20308,011259,2012,11259,4016,0.012,004016,WMT,Walmart Inc.,0000104169,5331,DG,Dollar General Corp.
20311,011259,2012,11259,6502,0.032,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
20327,011264,2012,11264,7241,0.0481,007241,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,CVS,CVS Health Corp.
20380,011672,2012,11672,31587,0.019,031587,TJX,TJX Companies Inc.,0000109198,5651,DLTR,Dollar Tree Inc.
20484,012141,2012,12141,170617,0.0097,170617,MSFT,Microsoft Corp.,0000789019,7372,META,Meta Platforms Inc.
20510,031587,2012,31587,2184,0.011,002184,DLTR,Dollar Tree Inc.,0000935703,5331,BBY,Best Buy Co. Inc.
20511,031587,2012,31587,4016,0.0594,004016,DLTR,Dollar Tree Inc.,0000935703,5331,DG,Dollar General Corp.
20516,031587,2012,31587,11672,0.019,011672,DLTR,Dollar Tree Inc.,0000935703,5331,TJX,TJX Companies Inc.
20547,064768,2012,64768,160329,0.0079,160329,AMZN,Amazon.com Inc.,0001018724,5961,GOOGL,Alphabet Inc.
20558,160329,2012,160329,64768,0.0079,064768,GOOGL,Alphabet Inc.,0001652044,7389,AMZN,Amazon.com Inc.
20573,160329,2012,160329,170617,0.0849,170617,GOOGL,Alphabet Inc.,0001652044,7389,META,Meta Platforms Inc.
